,Charger Longitude,Charger Latitude,Charger Stations
0,-108.28820958492615,37.345423295539064,charging_station
1,-107.88321508498254,37.27231589554491,charging_station
2,-108.54913408488984,39.055387195407405,charging_station
3,-108.60429788488216,39.09074939540476,charging_station
4,-108.56848448488712,39.067964395406456,charging_station
5,-108.58356538488505,39.08244749540539,charging_station
6,-108.58680178488459,39.08734449540504,charging_station
7,-108.55990068488835,39.06755269540648,charging_station
8,-108.55990338488834,39.06761949540648,charging_station
9,-108.55990478488833,39.067681495406475,charging_station
10,-108.55990568488834,39.067705595406494,charging_station
11,-108.54198168489084,39.113298095403096,charging_station
12,-108.35089068491743,39.110048295403324,charging_station
13,-108.35085518491742,39.110764695403304,charging_station
14,-107.8748294849837,38.47975309545066,charging_station
15,-108.15022518494537,39.07081009540626,charging_station
16,-106.9811087851081,38.86970569542121,charging_station
17,-105.87081698526266,37.70606059551049,charging_station
18,-104.51943718545078,37.134061495556,charging_station
19,-104.8246478854083,38.83752349542365,charging_station
20,-106.33198158519849,38.512053295448176,charging_station
21,-106.33202518519848,38.51210349544819,charging_station
22,-106.0761108852341,38.51141239544825,charging_station
23,-104.78280558541411,38.769218395428766,charging_station
24,-106.81776338513086,39.19146829539733,charging_station
25,-106.85844468512519,39.204928195396334,charging_station
26,-106.86444648512433,39.22556459539482,charging_station
27,-106.1306545852265,38.841831995423306,charging_station
28,-106.12030028522793,38.841441395423324,charging_station
29,-106.12248278522763,38.84689659542292,charging_station
30,-104.61357038543765,38.265434195467016,charging_station
31,-104.74147948541986,38.32485349546247,charging_station
32,-104.70806268542454,38.332206895461916,charging_station
33,-104.70771308542457,38.33274759546184,charging_station
34,-104.6248445854361,38.33185469546192,charging_station
35,-104.62529628543605,38.332521795461886,charging_station
36,-104.62427828543619,38.33249179546188,charging_station
37,-108.05035418495926,39.45546779537797,charging_station
38,-104.71721118542325,38.880693395420394,charging_station
39,-103.70854378556366,39.269012795391625,charging_station
40,-108.05840718495816,39.47255529537675,charging_station
41,-107.73537358500313,39.52089879537325,charging_station
42,-107.9123318849785,40.036957595336226,charging_station
43,-107.32404698506035,39.545163395371475,charging_station
44,-107.34016438505815,39.55269579537095,charging_station
45,-106.82791758512944,39.65904899536325,charging_station
46,-106.37169438519294,39.64212449536446,charging_station
47,-106.07076168523483,39.63141229536524,charging_station
48,-105.51706858531192,39.741335295357324,charging_station
49,-104.9639157853889,39.679991195361744,charging_station
50,-105.51073618531277,39.96181389534157,charging_station
51,-105.51985058531152,40.38379979531188,charging_station
52,-105.34338428533609,39.65171679536377,charging_station
53,-105.14221078536407,39.69883869536036,charging_station
54,-104.99266088538491,39.549812395371134,charging_station
55,-104.93941488539231,39.54124409537177,charging_station
56,-105.0163047853816,39.56146889537031,charging_station
57,-105.01528018538177,39.560165295370375,charging_station
58,-106.83663568512823,40.487612395304666,charging_station
59,-105.20278038535564,39.6639765953629,charging_station
60,-104.94087128539212,39.5284051953727,charging_station
61,-104.91253968539606,39.541920595371714,charging_station
62,-105.08577648537192,39.70865679535968,charging_station
63,-105.02589178538028,39.68916719536107,charging_station
64,-105.02443318538047,39.710654395359526,charging_station
65,-104.97953028538673,39.69614689536057,charging_station
66,-105.27362068534578,39.97891059534036,charging_station
67,-104.87347818540148,39.562724595370206,charging_station
68,-104.89610398539833,39.62651139536557,charging_station
69,-104.90527588539707,39.65256059536372,charging_station
70,-104.91208888539612,39.6986057953604,charging_station
71,-104.86522248540264,39.70236639536013,charging_station
72,-104.89723438539818,39.71966699535888,charging_station
73,-104.80941198541039,39.675416895362055,charging_station
74,-104.84763528540508,39.69727529536049,charging_station
75,-104.82785268540785,39.691963095360876,charging_station
76,-105.2319486853516,39.75611249535626,charging_station
77,-105.20081428535593,39.72762559535831,charging_station
78,-105.20060638535597,39.7278927953583,charging_station
79,-105.15459028536236,39.73303479535791,charging_station
80,-105.16614238536074,39.95356069534215,charging_station
81,-105.17338028535976,39.954917795342055,charging_station
82,-105.17157608535999,39.95818169534182,charging_station
83,-105.1629217853612,39.95523069534205,charging_station
84,-105.16307648536119,39.955910795341985,charging_station
85,-105.16402538536106,39.96946829534103,charging_station
86,-105.15763938536193,39.974062395340695,charging_station
87,-105.16042638536155,39.956474895341934,charging_station
88,-105.12869458536596,39.98008539534027,charging_station
89,-105.13012278536577,39.98126779534017,charging_station
90,-105.25763398534802,40.00127189533876,charging_station
91,-105.13430808536518,39.98770019533971,charging_station
92,-105.2498313853491,40.00888269533822,charging_station
93,-105.24980678534912,40.00952749533819,charging_station
94,-105.27899568534504,40.013852995337864,charging_station
95,-105.27901038534505,40.013895595337864,charging_station
96,-105.25665698534816,40.01827489533757,charging_station
97,-105.24300848535006,40.00961629533817,charging_station
98,-105.25701168534812,40.020303295337406,charging_station
99,-105.25085278534898,40.02581679533703,charging_station
100,-105.23510858535116,40.025574795337036,charging_station
101,-105.24165648535025,40.02212219533728,charging_station
102,-105.18295078535841,40.02388289533716,charging_station
103,-105.28228878534459,40.05775979533477,charging_station
104,-105.2053194853553,40.06200789533446,charging_station
105,-105.01806068538137,39.7432134953572,charging_station
106,-105.03396868537916,39.79070349535379,charging_station
107,-105.03326508537924,39.788073595353964,charging_station
108,-105.0321255853794,39.790927295353754,charging_station
109,-105.06487678537485,39.85824529534895,charging_station
110,-104.99809158538413,39.75788859535613,charging_station
111,-105.05916668537566,39.85826149534894,charging_station
112,-105.0947399853707,39.87749849534757,charging_station
113,-104.79467678541246,39.77522129535488,charging_station
114,-105.1147560853679,39.89687029534619,charging_station
115,-105.11461218536793,39.89701709534617,charging_station
116,-105.11455768536794,39.896993195346184,charging_station
117,-105.11450238536794,39.89696929534619,charging_station
118,-105.11472278536792,39.89706299534618,charging_station
119,-105.1146667853679,39.89703939534618,charging_station
120,-105.04787968537721,39.862760095348634,charging_station
121,-105.10388308536942,39.918967895344615,charging_station
122,-105.11339348536809,39.96070309534165,charging_station
123,-105.10350868536948,39.9192695953446,charging_station
124,-105.11317818536811,39.96191449534157,charging_station
125,-105.09781488537027,39.989962995339575,charging_station
126,-105.11233758536825,39.97146059534089,charging_station
127,-105.0544689853763,40.03614289533628,charging_station
128,-105.08400068537219,39.974221295340676,charging_station
129,-105.09013068537132,39.98745589533975,charging_station
130,-104.98655248538576,39.914821395344916,charging_station
131,-104.9911974853851,39.96169639534156,charging_station
132,-104.98993148538528,39.963151895341475,charging_station
133,-105.09983808537,40.00047369533883,charging_station
134,-103.62220478557568,40.27096809531975,charging_station
135,-105.06923228537423,40.593166695297384,charging_station
136,-105.01486888538182,40.52516879530208,charging_station
137,-105.01479488538183,40.52516419530208,charging_station
138,-105.01235478538216,40.52553529530205,charging_station
139,-105.01228008538217,40.52551939530206,charging_station
140,-105.06322458537508,40.40582849531036,charging_station
141,-105.00777608538282,40.40886989531013,charging_station
142,-104.99116868538512,40.44145119530789,charging_station
143,-105.09478728537067,40.52141589530233,charging_station
144,-105.01833198538134,40.52601889530201,charging_station
